,poem_line,nazm_name,author_name
40,کتنا اونچا اٹھا دیا تو نے,خدا,ابر احسنی گنوری
41,کیا یہ احسان بھول جاؤں میں,خدا,ابر احسنی گنوری
42,کس لیے تیرے گن نہ گاؤں میں,خدا,ابر احسنی گنوری
43,چاند سورج جو جگمگاتے ہیں,خدا,ابر احسنی گنوری
44,گرمی اور روشنی بہاتے ہیں,خدا,ابر احسنی گنوری
45,زندگی کا یہی سہارا ہیں,خدا,ابر احسنی گنوری
46,کھیتیاں بھی یہی پکاتے ہیں,خدا,ابر احسنی گنوری
47,یہ نہ چمکیں تو کچھ نہ کھاؤں میں,خدا,ابر احسنی گنوری
48,کس لیے تیرے گن نہ گاؤں میں,خدا,ابر احسنی گنوری
49,یہ گھٹائیں یہ ٹھنڈی ٹھنڈی ہوا,خدا,ابر احسنی گنوری
50,یہ سمندر پہاڑ یہ دریا,خدا,ابر احسنی گنوری
51,یہ گھنے اور یہ لہلہاتے کھیت,خدا,ابر احسنی گنوری
52,تو نے میرے لیے کیے پیدا,خدا,ابر احسنی گنوری
53,دین کو تیری کیا گناؤں میں,خدا,ابر احسنی گنوری
54,کس لئے تیرے گن نہ گاؤں میں,خدا,ابر احسنی گنوری
55,گائے یا بھینس بیل یا بکری,خدا,ابر احسنی گنوری
56,اونٹ گھوڑے پہاڑ سے ہاتھی,خدا,ابر احسنی گنوری
57,دودھ گھی دیں مجھے سواری دیں,خدا,ابر احسنی گنوری
58,جوتیں بوئیں یہی میری کھیتی,خدا,ابر احسنی گنوری
59,کیا دیا تو نے کیا بتاؤں میں,خدا,ابر احسنی گنوری
60,کس لیے تیرا گن نہ گاؤں میں,خدا,ابر احسنی گنوری
61,تو نے ماتا پتا کا پیار دیا,خدا,ابر احسنی گنوری
62,پھر مجھے علم سے سنوار دیا,خدا,ابر احسنی گنوری
63,بڑھ کے ان سب سے تندرستی دی,خدا,ابر احسنی گنوری
64,جو دیا تو نے بے شمار دیا,خدا,ابر احسنی گنوری
65,چاہیے سر تجھے جھکاؤں میں,خدا,ابر احسنی گنوری
66,کس لیے تیرے گن نہ گاؤں میں,خدا,ابر احسنی گنوری
67,مرے رب کی مجھ پر عنایت ہوئی,خدا کا سوال,ابرار احمد کاشف
68,کہوں بھی تو کیسے عبادت ہوئی,خدا کا سوال,ابرار احمد کاشف
69,حقیقت ہوئی جیسے مجھ پر عیاں,خدا کا سوال,ابرار احمد کاشف
70,قلم بن گیا ہے خدا کی زباں,خدا کا سوال,ابرار احمد کاشف
71,مخاطب ہے بندے سے پروردگار,خدا کا سوال,ابرار احمد کاشف
72,تو حسن چمن تو ہی رنگ بہار,خدا کا سوال,ابرار احمد کاشف
73,تو معراج فن تو ہی فن کا سنگھار,خدا کا سوال,ابرار احمد کاشف
74,مصور ہوں میں تو مرا شاہکار,خدا کا سوال,ابرار احمد کاشف
75,یہ صبحیں یہ شامیں یہ دن اور رات,خدا کا سوال,ابرار احمد کاشف
76,یہ رنگین دل کش حسیں کائنات,خدا کا سوال,ابرار احمد کاشف
77,کہ حور و ملائک وہ جنات میں,خدا کا سوال,ابرار احمد کاشف
78,کیا ہے تجھے اشرف المخلوقات,خدا کا سوال,ابرار احمد کاشف
79,مری عظمتوں کا حوالہ ہے تو,خدا کا سوال,ابرار احمد کاشف
80,تو ہی روشنی ہے اجالا ہے تو,خدا کا سوال,ابرار احمد کاشف
81,فرشتوں سے سجدہ بھی کروا دیا,خدا کا سوال,ابرار احمد کاشف
82,کہ تیرے لیے میں نے کیا نہ کیا,خدا کا سوال,ابرار احمد کاشف
83,یہ دنیا جہاں بزم آرائیاں,خدا کا سوال,ابرار احمد کاشف
84,یہ محفل یہ میلے یہ تنہائیاں,خدا کا سوال,ابرار احمد کاشف
85,فلک کا تجھے شامیانہ دیا,خدا کا سوال,ابرار احمد کاشف
86,زمیں پر تجھے آب و دانہ دیا,خدا کا سوال,ابرار احمد کاشف
87,ملے آبشاروں سے بھی حوصلے,خدا کا سوال,ابرار احمد کاشف
88,پہاڑوں میں تجھ کو دئے راستے,خدا کا سوال,ابرار احمد کاشف
89,یہ پانی ہوا اور یہ شمس و قمر,خدا کا سوال,ابرار احمد کاشف
90,یہ موج رواں یہ کنارہ بھنور,خدا کا سوال,ابرار احمد کاشف
91,یہ شاخوں پہ غنچے چٹختے ہوئے,خدا کا سوال,ابرار احمد کاشف
92,فلک پہ ستارے چمکتے ہوئے,خدا کا سوال,ابرار احمد کاشف
93,یہ سبزے یہ پھولوں بھری کیاریاں,خدا کا سوال,ابرار احمد کاشف
94,یہ پنچھی یہ اڑتی ہوئی تتلیاں,خدا کا سوال,ابرار احمد کاشف
95,یہ شعلہ یہ شبنم یہ مٹی یہ سنگ,خدا کا سوال,ابرار احمد کاشف
96,یہ جھرنوں کے بجتے ہوئے جل ترنگ,خدا کا سوال,ابرار احمد کاشف
97,یہ جھیلوں میں ہنستے ہوئے سے کنول,خدا کا سوال,ابرار احمد کاشف
98,یہ دھرتی پہ موسم کی لکھی غزل,خدا کا سوال,ابرار احمد کاشف
99,یہ سردی یہ گرمی یہ بارش یہ دھوپ,خدا کا سوال,ابرار احمد کاشف
100,یہ چہرہ یہ قد اور یہ رنگ روپ,خدا کا سوال,ابرار احمد کاشف
101,درندوں چرندوں پہ قابو دیا,خدا کا سوال,ابرار احمد کاشف
102,تجھے بھائی دے کر کے بازو دیا,خدا کا سوال,ابرار احمد کاشف
103,بہن دی تجھے اور شریک سفر,خدا کا سوال,ابرار احمد کاشف
104,یہ رشتے یہ ناطے گھرانا یہ گھر,خدا کا سوال,ابرار احمد کاشف
105,کہ اولاد بھی دی دئے والدین,خدا کا سوال,ابرار احمد کاشف
106,الف لام میم کاف اور عین غین,خدا کا سوال,ابرار احمد کاشف
107,یہ عقل و ذہانت شعور و نظر,خدا کا سوال,ابرار احمد کاشف
108,یہ بستی یہ صحرا یہ خشکی یہ تر,خدا کا سوال,ابرار احمد کاشف
109,اور اس پر کتاب ہدایت بھی دی,خدا کا سوال,ابرار احمد کاشف
110,نبی بھی اتارے شریعت بھی دی,خدا کا سوال,ابرار احمد کاشف
111,غرض کہ سبھی کچھ ہے تیرے لیے,خدا کا سوال,ابرار احمد کاشف
112,بتا کیا کیا تو نے میرے لیے,خدا کا سوال,ابرار احمد کاشف
113,میرے وطن کی مٹی سونا اگل رہی ہے,وطن کی مٹی,ابر احسنی گنوری
114,سبزے کی یہ حکومت یہ کھیت لہلہاتے,وطن کی مٹی,ابر احسنی گنوری
115,پتے ہوا سے چھو کر ایک راگ سا سناتے,وطن کی مٹی,ابر احسنی گنوری
116,سوتا ہوا مقدر انسان کا جگاتے,وطن کی مٹی,ابر احسنی گنوری
117,پودے نہیں زمیں سے دولت ابل رہی ہے,وطن کی مٹی,ابر احسنی گنوری
118,میرے وطن کی مٹی سونا اگل رہی ہے,وطن کی مٹی,ابر احسنی گنوری
119,مکا ہے یا زمرد تن کر کھڑے ہوئے ہیں,وطن کی مٹی,ابر احسنی گنوری
120,دھانوں کی بالیوں میں ہیرے جڑے ہوئے ہیں,وطن کی مٹی,ابر احسنی گنوری
121,بھٹے ہیں جوار کے یا موتی جڑے ہوئے ہیں,وطن کی مٹی,ابر احسنی گنوری
122,افلاس کے گلے پر تلوار چل رہی ہے,وطن کی مٹی,ابر احسنی گنوری
123,میرے وطن کی مٹی سونا اگل رہی ہے,وطن کی مٹی,ابر احسنی گنوری
124,جو میں چھپی ہوئی ہے شیروں سے بڑھ کر طاقت,وطن کی مٹی,ابر احسنی گنوری
125,پاتا ہوں میں چنے میں سو سو طرح کی لذت,وطن کی مٹی,ابر احسنی گنوری
126,گیہوں کو کیوں نہ سمجھوں اپنی وطن کی دولت,وطن کی مٹی,ابر احسنی گنوری
127,اس کے ہی بل پہ ساری مخلوق میں رہی ہے,وطن کی مٹی,ابر احسنی گنوری
128,میرے وطن کی مٹی سونا اگل رہی ہے,وطن کی مٹی,ابر احسنی گنوری
129,پھل پھول ہوں کہ میوے کیا سے کیا یہاں نہیں ہے,وطن کی مٹی,ابر احسنی گنوری
130,کانوں کا اک خزانہ اس ملک کی زمیں ہے,وطن کی مٹی,ابر احسنی گنوری
131,پکھراج بھی یہیں ہے یاقوت بھی یہیں ہے,وطن کی مٹی,ابر احسنی گنوری
132,پانے کو جن کو ساری دنیا مچل رہی ہے,وطن کی مٹی,ابر احسنی گنوری
133,میرے وطن کی مٹی سونا اگل رہی ہے,وطن کی مٹی,ابر احسنی گنوری
134,ایسی زمین پا کر خوشیاں نہ کیوں منائیں,وطن کی مٹی,ابر احسنی گنوری
135,آپس کا بیر چھوڑیں مل جل کے عیش اڑائیں,وطن کی مٹی,ابر احسنی گنوری
136,دنیا میں اس زمیں کی سب آبرو بڑھائیں,وطن کی مٹی,ابر احسنی گنوری
137,لازم ہے لوگ سنبھلیں دنیا سنبھل رہی ہے,وطن کی مٹی,ابر احسنی گنوری
138,میرے وطن کی مٹی سونا اگل رہی ہے,وطن کی مٹی,ابر احسنی گنوری
139,گھٹائیں آج بڑھتی جا رہی ہیں,خیالوں کے سوئیٹر,ابھیشیک کمار امبر
140,دکھانے پربتوں کو رعب اپنا,خیالوں کے سوئیٹر,ابھیشیک کمار امبر
141,ہواؤں کو بھی ساتھ اپنے لیا ہے,خیالوں کے سوئیٹر,ابھیشیک کمار امبر
142,کھڑے ہیں تان کر سینے کو پربت,خیالوں کے سوئیٹر,ابھیشیک کمار امبر
143,ایک دوسرے کا ہاتھ تھامے,خیالوں کے سوئیٹر,ابھیشیک کمار امبر
144,کہ اب گھیراؤ پورا ہو گیا ہے,خیالوں کے سوئیٹر,ابھیشیک کمار امبر
145,گرجنے لگ گئی ہے کالی بدلی,خیالوں کے سوئیٹر,ابھیشیک کمار امبر
146,سنہرے پروتوں کے رنگ پھیکے پڑھ گئے ہیں,خیالوں کے سوئیٹر,ابھیشیک کمار امبر
147,مٹ میلی ہوئی جاتی ہے اجلی اجلی پنڈر,خیالوں کے سوئیٹر,ابھیشیک کمار امبر
148,وہیں کچھ دور پلی بستیوں میں,خیالوں کے سوئیٹر,ابھیشیک کمار امبر
149,لال پیلے نیلے اجالے ہو گئے ہیں,خیالوں کے سوئیٹر,ابھیشیک کمار امبر
150,کہ جیسے کالی کالی چنیوں پر,خیالوں کے سوئیٹر,ابھیشیک کمار امبر
151,کوئی ستاروں کی کڑھائی کر گیا ہو,خیالوں کے سوئیٹر,ابھیشیک کمار امبر
152,دریچے سے میں بیٹھا دیکھتا ہوں,خیالوں کے سوئیٹر,ابھیشیک کمار امبر
153,کہ دنیا شانت ہوتی جا رہی ہے,خیالوں کے سوئیٹر,ابھیشیک کمار امبر
154,کہ جیسے بدھ کا وردان ہو یہ,خیالوں کے سوئیٹر,ابھیشیک کمار امبر
155,اور میں اپنے ذہن میں خیالوں کے سوئیٹر بن رہا ہوں,خیالوں کے سوئیٹر,ابھیشیک کمار امبر
156,فصل پک آئی ہے گیہوں کی,بہار,ابھیشیک کمار امبر
157,غنچے مسکرائے ہیں,بہار,ابھیشیک کمار امبر
158,کچھ مٹی کے گملوں میں,بہار,ابھیشیک کمار امبر
159,تو کچھ دھرتی کی باہوں میں,بہار,ابھیشیک کمار امبر
160,اک اک ہاتھ اگ آیا ہے,بہار,ابھیشیک کمار امبر
161,چٹنی کے لیے دھنیا,بہار,ابھیشیک کمار امبر
162,پودینے کی بھی کونپل,بہار,ابھیشیک کمار امبر
163,تھوڑی تھوڑی پھوٹ آئی ہیں,بہار,ابھیشیک کمار امبر
164,مگر اک بیج تم نے,بہار,ابھیشیک کمار امبر
165,دل کی دھرتی پر جو بویا تھا,بہار,ابھیشیک کمار امبر
166,وہ اب بھی منتظر ہے,بہار,ابھیشیک کمار امبر
167,تمہارا کھاد پانی چاہتا ہے,بہار,ابھیشیک کمار امبر
168,ذرا دیکھ میرے مقدر کی شاخوں پہ,جھوٹ اور سچ کے تماشے,عبیرہ احمد
169,جتنے شگوفے تھے,جھوٹ اور سچ کے تماشے,عبیرہ احمد
170,سب جل گئے ہیں,جھوٹ اور سچ کے تماشے,عبیرہ احمد
171,مرے رخت جاں پر,جھوٹ اور سچ کے تماشے,عبیرہ احمد
172,بہاروں کا ضامن,جھوٹ اور سچ کے تماشے,عبیرہ احمد
173,کوئی گل نہیں ہے,جھوٹ اور سچ کے تماشے,عبیرہ احمد
174,ذرا یاد کر جب,جھوٹ اور سچ کے تماشے,عبیرہ احمد
175,تری خوش بیانی نے,جھوٹ اور سچ کے تماشے,عبیرہ احمد
176,جھوٹ اور سچ کے تماشے میں,جھوٹ اور سچ کے تماشے,عبیرہ احمد
177,میری زباں کاٹ دی تھی,جھوٹ اور سچ کے تماشے,عبیرہ احمد
178,وہ دن شوق پرواز میں جب,جھوٹ اور سچ کے تماشے,عبیرہ احمد
179,ترے بازوؤں نے,جھوٹ اور سچ کے تماشے,عبیرہ احمد
180,مری شاخ جاں کاٹ دی تھی,جھوٹ اور سچ کے تماشے,عبیرہ احمد
181,ترے مرمریں قصر کے سنگ بنیاد میں,جھوٹ اور سچ کے تماشے,عبیرہ احمد
182,میرا خوں ہے,جھوٹ اور سچ کے تماشے,عبیرہ احمد
183,ترے بعد برسوں,جھوٹ اور سچ کے تماشے,عبیرہ احمد
184,تمازت میں چل چل کے میرے قدم,جھوٹ اور سچ کے تماشے,عبیرہ احمد
185,تھک گئے ہیں,جھوٹ اور سچ کے تماشے,عبیرہ احمد
186,جبھی یخ کدے میں بھی تو بے سکوں ہے,جھوٹ اور سچ کے تماشے,عبیرہ احمد
187,مسیحائی کے زعم میں جتنے نشتر,جھوٹ اور سچ کے تماشے,عبیرہ احمد
188,ترے ہاتھ سے,جھوٹ اور سچ کے تماشے,عبیرہ احمد
189,میری رگ رگ میں اترے,جھوٹ اور سچ کے تماشے,عبیرہ احمد
190,سبھی پر ترا خوں مرے خوں,جھوٹ اور سچ کے تماشے,عبیرہ احمد
191,کے دھبوں سے لپٹا ہوا ہے,جھوٹ اور سچ کے تماشے,عبیرہ احمد
192,مری قطع جاں ہی سے تیری نمو ہے,جھوٹ اور سچ کے تماشے,عبیرہ احمد
193,مگر یہ بھی سچ ہے,جھوٹ اور سچ کے تماشے,عبیرہ احمد
194,تری آبرو ہی مری آبرو ہے,جھوٹ اور سچ کے تماشے,عبیرہ احمد
195,ترا حال میری نظر سے عیاں ہے,جھوٹ اور سچ کے تماشے,عبیرہ احمد
196,کہ تو میری جاں ہے,جھوٹ اور سچ کے تماشے,عبیرہ احمد
197,تیس سال,نصف شب,عبیرہ احمد
198,زندگی کی نصف شب,نصف شب,عبیرہ احمد
199,نصف شب,نصف شب,عبیرہ احمد
200,جس سے وابستہ ہے خوابوں کی نمود,نصف شب,عبیرہ احمد
201,خواب,نصف شب,عبیرہ احمد
202,جن کی کوکھ میں,نصف شب,عبیرہ احمد
203,سانس لیتے اور بھی کچھ خوابچے محفوظ ہیں,نصف شب,عبیرہ احمد
204,اپنے ہونے کی خبر دیتے ہوئے,نصف شب,عبیرہ احمد
205,درد کی مہمیز کر دیتے ہوئے,نصف شب,عبیرہ احمد
206,نو شگفتہ خوابچے,نصف شب,عبیرہ احمد
207,کچھ جاں بہ لب خواب و خیال,نصف شب,عبیرہ احمد
208,تیس سال,نصف شب,عبیرہ احمد
209,زندگی کی نصف شب,نصف شب,عبیرہ احمد
210,اور صبح نو کا انتظار,نصف شب,عبیرہ احمد
211,صبح نو,نصف شب,عبیرہ احمد
212,جو ہو نہ ہو,نصف شب,عبیرہ احمد
213,پر انتظار اک رسم دیرینہ سہی,نصف شب,عبیرہ احمد
214,چل رہی ہے سینۂ شب پر رفو کاری مدام,نصف شب,عبیرہ احمد
215,زندگی کی نصف شب ہونے کو ہے,نصف شب,عبیرہ احمد
216,گر یہی ہے اس دل مہجور کے فن کا مقام,نصف شب,عبیرہ احمد
217,پھر یہی جینا سہی,نصف شب,عبیرہ احمد
218,خیال آبرو,خیال آبرو,عبیرہ احمد
219,اب کیا خیال آبرو,خیال آبرو,عبیرہ احمد
220,بھیڑ میں آن بیٹھے,خیال آبرو,عبیرہ احمد
221,اب کیا سوال دید اور کیسا حجاب,خیال آبرو,عبیرہ احمد
222,بس جناب,خیال آبرو,عبیرہ احمد
223,جاتی ہوا سے کس لیے سر کی ردا بچایئے,خیال آبرو,عبیرہ احمد
224,دیکھیے مسکرائی ہے,خیال آبرو,عبیرہ احمد
225,ایک نگاہ اشتیاق,خیال آبرو,عبیرہ احمد
226,ہوش میں آئیے حضور,خیال آبرو,عبیرہ احمد
227,آپ بھی مسکرائیے,خیال آبرو,عبیرہ احمد
228,دیکھ کے یاں برہنہ سر,خیال آبرو,عبیرہ احمد
229,کون ہے جو ملول ہو,خیال آبرو,عبیرہ احمد
230,حیف ہے اب بھی شعر کی,خیال آبرو,عبیرہ احمد
231,داد نہ گر وصول ہو,خیال آبرو,عبیرہ احمد
232,چھوڑ بھی دیجئے عبیرؔ,خیال آبرو,عبیرہ احمد
233,کاہے کی پردہ داریاں,خیال آبرو,عبیرہ احمد
234,شہر سے اٹھ گئیں حضور,خیال آبرو,عبیرہ احمد
235,پہلی سی وضع داریاں,خیال آبرو,عبیرہ احمد
236,آپ بھی تو بدل گئیں,خیال آبرو,عبیرہ احمد
237,جی معذرت قبول ہو,خیال آبرو,عبیرہ احمد
238,کوئی نہ ساتھ روئے گا,خیال آبرو,عبیرہ احمد
239,کیوں سر عام روئیے,خیال آبرو,عبیرہ احمد
240,شعر کی آبرو گئی,خیال آبرو,عبیرہ احمد
241,کیوں نہ مدام روئیے,خیال آبرو,عبیرہ احمد
242,اچھی لگی تماش گاہ,خیال آبرو,عبیرہ احمد
243,دیکھیے خط اٹھائیے,خیال آبرو,عبیرہ احمد
244,روئیے,خیال آبرو,عبیرہ احمد
245,روئے جائیے,خیال آبرو,عبیرہ احمد
246,اب کیا خیال آبرو,خیال آبرو,عبیرہ احمد
247,بھیڑ میں آن بیٹھیے,خیال آبرو,عبیرہ احمد
248,بہت چھوٹی سی اک تقریب رکھی ہے,تنہائی کی ایک نظم,عبیرہ احمد
249,یہ دنیا ہے,تنہائی کی ایک نظم,عبیرہ احمد
250,لہٰذا حسب خواہش کچھ یہاں ہو کر نہیں دیتا,تنہائی کی ایک نظم,عبیرہ احمد
251,سو یہ تقریب جانے ہو نہ ہو,تنہائی کی ایک نظم,عبیرہ احمد
252,پر تم ضرور آنا,تنہائی کی ایک نظم,عبیرہ احمد
253,تم آنا,تنہائی کی ایک نظم,عبیرہ احمد
254,آرزو کی بات ہوگی,تنہائی کی ایک نظم,عبیرہ احمد
255,زندگی پر تبصرے ہوں گے,تنہائی کی ایک نظم,عبیرہ احمد
256,وہاں رکنا,تنہائی کی ایک نظم,عبیرہ احمد
257,جہاں پھولوں کی سنگت میں روش پر دل دھرے ہوں گے,تنہائی کی ایک نظم,عبیرہ احمد
258,قبائے چاک پہنے کچھ کشادہ ظرف استقبال کو باہر کھڑے ہوں گے,تنہائی کی ایک نظم,عبیرہ احمد
259,تمہیں جو رنگ بھی بھائے پہن آنا,تنہائی کی ایک نظم,عبیرہ احمد
260,تمہیں جو بھیس خوش آئے,تنہائی کی ایک نظم,عبیرہ احمد
261,دبے پاؤں,تنہائی کی ایک نظم,عبیرہ احمد
262,ہوا کے دوش پر,تنہائی کی ایک نظم,عبیرہ احمد
263,یا چاند کی کرنوں پہ چل کر,تنہائی کی ایک نظم,عبیرہ احمد
264,پا پیادہ حرف ہاتھوں میں اٹھائے یا تہی داماں,تنہائی کی ایک نظم,عبیرہ احمد
265,کسی صورت بھی آنا,تنہائی کی ایک نظم,عبیرہ احمد
266,بس چلے آنا,تنہائی کی ایک نظم,عبیرہ احمد
267,بہت چھوٹی سی اک تقریب رکھی ہے,تنہائی کی ایک نظم,عبیرہ احمد
268,نہ اب شب زادگی سے کوئی شکوہ,تنہائی کی ایک نظم,عبیرہ احمد
269,نہ زمانے کے تغافل سے شکایت ہے,تنہائی کی ایک نظم,عبیرہ احمد
270,ضرور آنا مرے غم کی نہایت ہے,تنہائی کی ایک نظم,عبیرہ احمد
271,کوئی میرے لرزتے ہاتھ میں,نہ مرنے کا دکھ,عابد ادیب
272,کاغذ کا پرزہ اور قلم پکڑا رہا تھا,نہ مرنے کا دکھ,عابد ادیب
273,کبھی کچھ زیر لب ہی بڑبڑا کر,نہ مرنے کا دکھ,عابد ادیب
274,کوئی اثبات میں,نہ مرنے کا دکھ,عابد ادیب
275,آنکھوں کی اور ماتھے کی جنبش چاہتا تھا,نہ مرنے کا دکھ,عابد ادیب
276,کبھی دانتوں میں ہونٹوں کو دبا کر,نہ مرنے کا دکھ,عابد ادیب
277,کوئی رونے کی کوشش کر رہا تھا,نہ مرنے کا دکھ,عابد ادیب
278,کوئی تو چند لمحوں بعد اپنے,نہ مرنے کا دکھ,عابد ادیب
279,بال بکھرانے گریباں نوچنے کی فکر میں تھا,نہ مرنے کا دکھ,عابد ادیب
280,کوئی غمگیں چہرہ اور سیاہ ملبوس میں,نہ مرنے کا دکھ,عابد ادیب
281,بے حد حسیں معلوم دیتا تھا,نہ مرنے کا دکھ,عابد ادیب
282,میرے اجداد کے ناموں کو گنوا کر,نہ مرنے کا دکھ,عابد ادیب
283,کوئی مجھ سے تعلق جوڑتا تھا,نہ مرنے کا دکھ,عابد ادیب
284,سبھی نزدیک تھے میرے,نہ مرنے کا دکھ,عابد ادیب
285,ادھر بھائی بھتیجے تھے,نہ مرنے کا دکھ,عابد ادیب
286,ادھر بہنیں تھیں بھانجے تھے,نہ مرنے کا دکھ,عابد ادیب
287,پھر ان کے بعد,نہ مرنے کا دکھ,عابد ادیب
288,رشتے جوڑنے والے صف آرا تھے,نہ مرنے کا دکھ,عابد ادیب
289,یہ لگتا تھا کہ کچھ ہی دیر میں,نہ مرنے کا دکھ,عابد ادیب
290,ماتم بپا ہوگا,نہ مرنے کا دکھ,عابد ادیب
291,میں ان باتوں سے,نہ مرنے کا دکھ,عابد ادیب
292,بستر پر پڑا,نہ مرنے کا دکھ,عابد ادیب
293,آنکھوں کو تھوڑی سی کھلی رکھ کر,نہ مرنے کا دکھ,عابد ادیب
294,بڑے دلچسپ موڈ میں تھا,نہ مرنے کا دکھ,عابد ادیب
295,سبھی غمگین تھے لیکن,نہ مرنے کا دکھ,عابد ادیب
296,تمنائیں تھیں آنکھوں میں,نہ مرنے کا دکھ,عابد ادیب
297,یکایک میں نے کروٹ لی,نہ مرنے کا دکھ,عابد ادیب
298,اور آنکھیں کھول کر اٹھنے کی کوشش کی,نہ مرنے کا دکھ,عابد ادیب
299,تو دیکھا,نہ مرنے کا دکھ,عابد ادیب
300,سبھی کے لب پہ مصنوعی ہنسی تھی,نہ مرنے کا دکھ,عابد ادیب
301,چمک آنکھوں سے غائب تھی,نہ مرنے کا دکھ,عابد ادیب
302,زندگی پین ہے,زندگی پین ہے,ابھیشیک کمار امبر
303,اس کے ریفل ہو تم,زندگی پین ہے,ابھیشیک کمار امبر
304,پین کی پائی جاتی ہیں قسمیں بہت,زندگی پین ہے,ابھیشیک کمار امبر
305,کوئی مونٹیکس ہے کوئی پایلٹ ہے,زندگی پین ہے,ابھیشیک کمار امبر
306,پین مہنگے ہیں جو ان کی اک خاصیت,زندگی پین ہے,ابھیشیک کمار امبر
307,من کرے جب آپ ریفل بدل سکتے ہو,زندگی پین ہے,ابھیشیک کمار امبر
308,لیکن میں پین ہوں ۳ روپے والا,زندگی پین ہے,ابھیشیک کمار امبر
309,جس میں ایسی کوئی خاصیت تو نہیں,زندگی پین ہے,ابھیشیک کمار امبر
310,اک کمی ہے مگر,زندگی پین ہے,ابھیشیک کمار امبر
311,یہ ٹوٹ جائے گا پر ریفل بدلتا نہیں,زندگی پین ہے,ابھیشیک کمار امبر
312,دیے بجھا دو,دئیے بجھا دو,عبیرہ احمد
313,اور ان دیوں کو جلائے رکھنے کے سارے اسباب تلف کر دو,دئیے بجھا دو,عبیرہ احمد
314,وجود کی سلطنت کے اس پار بھی اندھیرا,دئیے بجھا دو,عبیرہ احمد
315,وجود کی سلطنت کے اس پار بھی,دئیے بجھا دو,عبیرہ احمد
316,اندھیرا ہے تو اچھا,دئیے بجھا دو,عبیرہ احمد
317,گھٹن بڑھا دو,دئیے بجھا دو,عبیرہ احمد
318,کہ سانس رک رک کے اب بھی سینے میں آ رہی ہے,دئیے بجھا دو,عبیرہ احمد
319,کچھ اور میخیں اتار دو آر پار دل کے,دئیے بجھا دو,عبیرہ احمد
320,کچھ اور گہرا چلاؤ نشتر,دئیے بجھا دو,عبیرہ احمد
